date,rank,ticker6,name,market_cap,predicted_gap,predicted_gap_net,vol_ratio,primary_driver,drivers_str
2026-06-30,3,051980,중앙첨단소재,123978347244,0.03723,0.03223,4.262,SMH,SMH:β+0.44@+1.46%; AMD:β+0.24@+0.82%; XLK:β+0.61@+1.44%
2026-06-30,1,0120G0,삼양바이오팜,379972957000,0.1302,0.1252,1.524,TSLA,XLY:β+1.57@+3.77%; GOOGL:β+0.93@+4.47%; TSLA:β+0.57@+4.79%
2026-06-30,2,416180,신성에스티,198875116000,0.05801,0.05301,3.347,XLY,XLK:β+0.79@+1.88%; XLY:β+0.95@+2.27%; SMH:β+0.50@+1.65%
2026-06-30,3,051980,중앙첨단소재,123978347244,0.03723,0.03223,4.262,SMH,SMH:β+0.44@+1.46%; AMD:β+0.24@+0.82%; XLK:β+0.61@+1.44%
2026-07-01,1,413630,씨피시스템,103844324250,0.05205,0.04705,7.418,XLK,XLK:β+0.66@+1.82%; SMH:β+0.44@+1.66%; TSM:β+0.35@+1.73%
2026-07-01,2,064850,에프앤가이드,340598410200,0.03807,0.03307,3.54,AMD,SMH:β+0.32@+1.23%; AMD:β+0.17@+1.34%; XLK:β+0.45@+1.24%
2026-07-01,3,041830,인바디,779194979600,0.0245,0.0195,4.065,TSM,NVDA:β+0.23@+0.61%; XLK:β+0.32@+0.89%; TSM:β+0.19@+0.95%
2026-07-01,1,413630,씨피시스템,103844324250,0.05205,0.04705,7.418,XLK,XLK:β+0.66@+1.82%; SMH:β+0.44@+1.66%; TSM:β+0.35@+1.73%
2026-07-01,2,064850,에프앤가이드,340598410200,0.03807,0.03307,3.54,AMD,SMH:β+0.32@+1.23%; AMD:β+0.17@+1.34%; XLK:β+0.45@+1.24%
2026-07-01,3,041830,인바디,779194979600,0.0245,0.0195,4.065,TSM,NVDA:β+0.23@+0.61%; XLK:β+0.32@+0.89%; TSM:β+0.19@+0.95%
2026-07-02,1,046070,코다코,159196994920,0.18524,0.18024,,EWY,EWY:β-2.28@+18.52%
2026-07-02,2,347700,스피어,1445679104100,0.03186,0.02686,4.998,META,META:β+0.55@+4.81%; AMD:β+0.24@-1.63%
2026-07-02,3,183190,아세아시멘트,348989238400,0.02004,0.01504,3.547,NFLX,MSFT:β+0.33@+0.98%; NFLX:β+0.26@+1.02%
2026-07-02,1,046070,코다코,159196994920,0.18524,0.18024,,EWY,EWY:β-2.28@+18.52%
2026-07-02,2,347700,스피어,1445679104100,0.03186,0.02686,4.998,META,META:β+0.55@+4.81%; AMD:β+0.24@-1.63%
2026-07-02,3,183190,아세아시멘트,348989238400,0.02004,0.01504,3.547,NFLX,MSFT:β+0.33@+0.98%; NFLX:β+0.26@+1.02%
2026-07-03,1,025620,차AI헬스케어,125243334240,0.0274,0.0224,6.484,XLV,XLV:β+0.72@+1.89%; XBI:β+0.42@+1.04%; SMCI:β+0.12@-0.19%
2026-07-03,2,046070,코다코,159196994920,0.06367,0.05867,,EWY,EWY:β-2.20@+6.37%
2026-07-03,3,183190,아세아시멘트,336396843200,0.02487,0.01987,2.396,NFLX,MSFT:β+0.32@+0.51%; XBI:β+0.32@+0.80%; NFLX:β+0.25@+1.17%
