code,snapshot_date,Unnamed: 0,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
322000,2026-05-13,220,KR7322000001,HD현대에너지솔루션,KOSPI,,212000,1,5000,2.42,213000,232000,208000,867468,189043194250,2374400000000,11200000,STK
095610,2026-05-13,221,KR7095610002,테스,KOSDAQ,우량기업부,122500,1,13900,12.8,104800,124900,96100,724968,83997339750,2371600000000,19360000,KSQ
008930,2026-05-13,222,KR7008930000,한미사이언스,KOSPI,,34600,2,-1700,-4.68,36900,36950,34550,101891,3571971400,2366347630000,68391550,STK
140410,2026-05-13,223,KR7140410002,메지온,KOSDAQ,투자주의환기종목(소속부없음),77100,2,-4700,-5.75,82600,83400,75000,274697,21294764650,2343236075700,30392167,KSQ
112610,2026-05-13,224,KR7112610001,씨에스윈드,KOSPI,,54800,2,-2900,-5.03,58500,58700,54000,496268,27190597200,2310992884400,42171403,STK
282330,2026-05-13,225,KR7282330000,BGF리테일,KOSPI,,133700,1,1100,0.83,132600,136300,130600,108572,14467034200,2310858232200,17283906,STK
009420,2026-05-13,226,KR7009420001,한올바이오파마,KOSPI,,44050,2,-2600,-5.57,47500,47800,44000,289771,13029722025,2301200103900,52240638,STK
161890,2026-05-13,227,KR7161890009,한국콜마,KOSPI,,97400,2,-2700,-2.7,100200,100600,94900,263204,25646539200,2299134499800,23605077,STK
005440,2026-05-13,228,KR7005440003,현대지에프홀딩스,KOSPI,,14720,1,490,3.44,14000,14780,13960,331585,4765382000,2294911310720,155904301,STK
068760,2026-05-13,229,KR7068760008,셀트리온제약,KOSDAQ,우량기업부,51300,2,-1400,-2.66,54100,54400,51200,110160,5727393450,2277839631600,44402332,KSQ
279570,2026-05-13,230,KR7279570006,케이뱅크,KOSPI,,5590,1,100,1.82,5500,5630,5430,1855456,10292261855,2267835894090,405695151,STK
017960,2026-05-13,231,KR7017960006,한국카본,KOSPI,,43250,2,-250,-0.57,44950,44950,41800,336874,14402997100,2261049450000,52278600,STK
000240,2026-05-13,232,KR7000240002,한국앤컴퍼니,KOSPI,,23450,2,-250,-1.05,23950,24000,23100,109460,2572948600,2226231378000,94935240,STK
097230,2026-05-13,233,KR7097230007,HJ중공업,KOSPI,,24550,2,-850,-3.35,25800,26250,24500,1113341,27711778175,2216750695200,90295344,STK
078600,2026-05-13,234,KR7078600004,대주전자재료,KOSDAQ,우량기업부,142500,2,-4900,-3.32,145400,148100,138000,277512,39594070050,2213462902500,15533073,KSQ
004370,2026-05-13,235,KR7004370003,농심,KOSPI,,363500,2,-2000,-0.55,370000,378500,363500,33443,12297245000,2211040367000,6082642,STK
007070,2026-05-13,236,KR7007070006,GS리테일,KOSPI,,26400,1,750,2.92,25900,27000,25650,483996,12835937000,2207235756000,83607415,STK
000120,2026-05-13,237,KR7000120006,CJ대한통운,KOSPI,,95400,2,-300,-0.31,95700,98200,94000,82603,7952779900,2176297617600,22812344,STK
030000,2026-05-13,238,KR7030000004,제일기획,KOSPI,,18800,2,-170,-0.9,19050,19130,18770,469883,8864945175,2162775030000,115041225,STK
323280,2026-05-13,239,KR7323280008,태성,KOSDAQ,중견기업부,70800,1,700,1.0,67400,70800,66100,343697,23503213550,2162088984000,30537980,KSQ
