code,snapshot_date,market,name,market_cap,volume,yf_ticker
004080,2026-08-19,KOSPI,신흥,130665000000.0,939,004080.KS
489500,2026-08-19,KOSDAQ,엘케이켐,130381255200.0,11686,489500.KQ
106190,2026-08-19,KOSDAQ,하이텍팜,130256369250.0,46417,106190.KQ
321550,2026-08-19,KOSDAQ,티움바이오,130066596750.0,140248,321550.KQ
232680,2026-08-19,KOSDAQ,라온로보틱스,130056075000.0,149313,232680.KQ
240550,2026-08-19,KOSDAQ,동방메디컬,129999767400.0,53934,240550.KQ
405100,2026-08-19,KOSDAQ,큐알티,129897911570.0,28152,405100.KQ
264660,2026-08-19,KOSDAQ,씨앤지하이테크,129777646200.0,20316,264660.KQ
136540,2026-08-19,KOSDAQ,윈스테크넷,128937333000.0,12060,136540.KQ
140670,2026-08-19,KOSDAQ,알에스오토메이션,128783595200.0,57000,140670.KQ
048550,2026-08-19,KOSDAQ,SM C&C,128630444600.0,340773,048550.KQ
008350,2026-08-19,KOSPI,남선알미늄,128562773640.0,781655,008350.KS
267290,2026-08-19,KOSPI,경동도시가스,128225080500.0,11548,267290.KS
118990,2026-08-19,KOSDAQ,모트렉스,128085076620.0,42018,118990.KQ
142210,2026-08-19,KOSDAQ,유니트론텍,128036156510.0,372581,142210.KQ
002390,2026-08-19,KOSPI,한독,127863221570.0,23167,002390.KS
086980,2026-08-19,KOSDAQ,쇼박스,127373520000.0,140515,086980.KQ
210540,2026-08-19,KOSPI,디와이파워,127310893240.0,119907,210540.KS
007540,2026-08-19,KOSPI,샘표,127254150000.0,3118,007540.KS
417500,2026-08-19,KOSDAQ,제이아이테크,127204806720.0,223060,417500.KQ
396300,2026-08-19,KOSDAQ,세아메카닉스,127017152500.0,4643419,396300.KQ
094840,2026-08-19,KOSDAQ,슈프리마에이치큐,126989111550.0,28772,094840.KQ
013520,2026-08-19,KOSPI,화승코퍼레이션,126879923820.0,124080,013520.KS
214420,2026-08-19,KOSPI,토니모리,126768790730.0,96407,214420.KS
053080,2026-08-19,KOSDAQ,케이엔솔,126748118250.0,509412,053080.KQ
322510,2026-08-19,KOSDAQ,제이엘케이,126700018100.0,86422,322510.KQ
004960,2026-08-19,KOSPI,한신공영,126352065840.0,28251,004960.KS
220260,2026-08-19,KOSDAQ,켐트로스,126203536425.0,64995,220260.KQ
089470,2026-08-19,KOSPI,HDC현대EP,126164500000.0,54344,089470.KS
036690,2026-08-19,KOSDAQ,코맥스,125692107675.0,0,036690.KQ
018470,2026-08-19,KOSPI,조일알미늄,125365403790.0,622640,018470.KS
432720,2026-08-19,KOSDAQ,퀄리타스반도체,125276260760.0,86794,432720.KQ
473980,2026-08-19,KOSDAQ,노머스,125260475520.0,30939,473980.KQ
059120,2026-08-19,KOSDAQ,아진엑스텍,125240851440.0,535279,059120.KQ
037560,2026-08-19,KOSPI,LG헬로비전,125231580705.0,169093,037560.KS
457550,2026-08-19,KOSDAQ,우진엔텍,125153605940.0,42434,457550.KQ
289080,2026-08-19,KOSDAQ,SV인베스트먼트,125087524640.0,537281,289080.KQ
350520,2026-08-19,KOSPI,이지스레지던스리츠,124423431750.0,62962,350520.KS
297890,2026-08-19,KOSDAQ,HB솔루션,124046990144.0,257858,297890.KQ
035610,2026-08-19,KOSDAQ,솔본,124014096395.0,24115,035610.KQ
146320,2026-08-19,KOSDAQ,비씨엔씨,124011873870.0,27387,146320.KQ
413630,2026-08-19,KOSDAQ,씨피시스템,123520090950.0,659377,413630.KQ
011690,2026-08-19,KOSPI,와이투솔루션,123510285810.0,141521,011690.KS
451760,2026-08-19,KOSDAQ,컨텍,123313071780.0,73925,451760.KQ
478340,2026-08-19,KOSDAQ,나라스페이스테크놀로지,123221916450.0,46964,478340.KQ
021320,2026-08-19,KOSDAQ,KCC건설,123050000000.0,13780,021320.KQ
388790,2026-08-19,KOSDAQ,라이콤,122915852400.0,263039,388790.KQ
267320,2026-08-19,KOSDAQ,나인테크,122868731300.0,159802,267320.KQ
095190,2026-08-19,KOSDAQ,신화프리텍,122624408098.0,113495,095190.KQ
285490,2026-08-19,KOSDAQ,노바텍,122362364670.0,17222,285490.KQ
366030,2026-08-19,KOSDAQ,나인앤컴퍼니,122330790000.0,119645,366030.KQ
115310,2026-08-19,KOSDAQ,인포바인,122211963760.0,16037,115310.KQ
418420,2026-08-19,KOSDAQ,라온텍,122174995260.0,99501,418420.KQ
361390,2026-08-19,KOSDAQ,제노코,121899490120.0,25639,361390.KQ
211270,2026-08-19,KOSDAQ,AP위성,121563370240.0,39454,211270.KQ
214390,2026-08-19,KOSPI,경보제약,121446848800.0,19857,214390.KS
005800,2026-08-19,KOSPI,신영와코루,121410000000.0,7391,005800.KS
192410,2026-08-19,KOSDAQ,오늘이엔엠,120892363200.0,102773,192410.KQ
487400,2026-08-19,KOSDAQ,케이앤에스아이앤씨,120873189960.0,2385726,487400.KQ
122450,2026-08-19,KOSDAQ,KX,120789452630.0,50386,122450.KQ
011280,2026-08-19,KOSPI,태림포장,120653321760.0,20197,011280.KS
067290,2026-08-19,KOSDAQ,JW신약,120479771450.0,7965055,067290.KQ
079430,2026-08-19,KOSPI,현대리바트,120282927960.0,42555,079430.KS
009780,2026-08-19,KOSDAQ,엠에스씨,119680000000.0,49994,009780.KQ
006660,2026-08-19,KOSPI,삼성공조,119456815800.0,7469326,006660.KS
009070,2026-08-19,KOSPI,KCTC,119250000000.0,142071,009070.KS
002620,2026-08-19,KOSPI,제일파마홀딩스,118522294100.0,1007,002620.KS
149950,2026-08-19,KOSDAQ,아바텍,118498985010.0,152815,149950.KQ
078000,2026-08-19,KOSPI,텔코웨어,118457787140.0,3141,078000.KS
001360,2026-08-19,KOSPI,삼성제약,118267571224.0,215484,001360.KS
0015N0,2026-08-19,KOSDAQ,아로마티카,118223066800.0,847542,0015N0.KQ
458650,2026-08-19,KOSDAQ,성우,118108509500.0,10054,458650.KQ
308080,2026-08-19,KOSDAQ,바이젠셀,118075737600.0,62976,308080.KQ
027710,2026-08-19,KOSDAQ,팜스토리,117767346200.0,174476,027710.KQ
227840,2026-08-19,KOSPI,현대코퍼레이션홀딩스,117400784400.0,29390,227840.KS
333430,2026-08-19,KOSDAQ,일승,117376173540.0,187248,333430.KQ
052260,2026-08-19,KOSDAQ,현대바이오랜드,117150000000.0,60885,052260.KQ
052460,2026-08-19,KOSDAQ,아이크래프트,117009567360.0,363551,052460.KQ
034590,2026-08-19,KOSPI,인천도시가스,116805931800.0,2091,034590.KS
109740,2026-08-19,KOSDAQ,디에스케이,116725170600.0,28851,109740.KQ
148150,2026-08-19,KOSDAQ,세경하이테크,116580443040.0,112430,148150.KQ
073010,2026-08-19,KOSDAQ,케이에스피,116554625000.0,95067,073010.KQ
452450,2026-08-19,KOSDAQ,피아이이,116552197500.0,32491,452450.KQ
474170,2026-08-19,KOSDAQ,루미르,116527731840.0,34000,474170.KQ
402490,2026-08-19,KOSDAQ,그린리소스,116514292960.0,97854,402490.KQ
037350,2026-08-19,KOSDAQ,성도이엔지,116508600000.0,145947,037350.KQ
