date,rank,ticker6,name,primary_driver,predicted,predicted_net,actual,vol_ratio,strategy_name
2026-02-11,1,033240,자화전자,TSM,0.006478446817566407,0.0014784468175664065,-0.028985507246376812,2.162478119091102,tier1
2026-02-11,2,030960,양지사,MU,0.005146710980126056,0.00014671098012605625,-0.012775842044134728,4.969786010245774,tier1
2026-02-12,1,000300,DH오토넥스,NFLX,0.22828657209698733,0.22328657209698732,0.0,,tier1
2026-02-12,2,086390,유니테스트,EWY,0.04596808547598009,0.04096808547598009,0.03740648379052369,4.954260163997005,tier1
2026-02-12,3,114810,한솔아이원스,MU,0.03508180431802861,0.03008180431802861,0.012933568489124045,3.968137271121052,tier1
2026-02-13,1,000300,DH오토넥스,NFLX,0.33859331635433343,0.3335933163543334,0.0,,tier1
2026-02-13,2,013580,계룡건설,AAPL,0.007390941608851874,0.002390941608851874,-2.124084562696327e-08,4.161334260708283,tier1
2026-02-19,1,100790,미래에셋벤처투자,MU,0.01288361817657073,0.007883618176570729,0.0423728813559322,4.326564974573162,tier1
2026-02-19,2,044490,태웅,URA,0.01776699836503443,0.012766998365034428,0.035493827160493825,2.451336318921802,tier1
2026-02-19,3,086390,유니테스트,EWY,0.011578611734113986,0.006578611734113986,0.03940886699507389,2.587572241545637,tier1
2026-02-20,1,086390,유니테스트,EWY,0.011536253412534303,0.006536253412534303,-0.01762114537444934,6.026269107169358,tier1
2026-02-20,2,440110,파두,SMCI,0.016314349698027898,0.011314349698027897,0.0,,tier1
2026-02-20,3,094820,일진파워,URA,0.006111193924033314,0.0011111939240333142,0.01015228426395939,5.516144062162087,tier1
2026-02-23,1,001200,유진투자증권,EWY,0.015380090879878325,0.010380090879878325,0.013467944247013702,8.23533922662609,tier1
2026-02-23,2,003720,삼영,GOOGL,0.01240064117253597,0.00740064117253597,0.014176663031624863,4.805644714279227,tier1
2026-02-23,3,388050,지투파워,TSM,0.009186034913090044,0.004186034913090044,0.02022058823529412,8.197961398113895,tier1
2026-02-24,1,000300,DH오토넥스,NFLX,0.23554219570392002,0.23054219570392,0.0,,tier1
2026-02-24,2,119610,인터로조,AMZN,0.012868697458618905,0.007868697458618904,0.0,1.5240386236665504,tier1
2026-02-24,3,030960,양지사,XLK,0.008827948538491356,0.003827948538491356,-0.006528835690968444,2.147331604603549,tier1
2026-02-25,1,388050,지투파워,TSM,0.021210309178646497,0.016210309178646496,0.004091653027823241,9.189409618212515,tier1
2026-02-25,2,093520,매커스,EWY,0.023490824149776907,0.018490824149776906,-0.021875,6.495549881886945,tier1
2026-02-25,3,054210,이랜텍,AMD,0.01634858612287419,0.011348586122874187,0.0,7.094170128571116,tier1
2026-02-26,1,254490,미래반도체,XLK,0.030413226474018337,0.025413226474018336,0.004975124378109453,5.176051441973442,tier1
2026-02-26,2,017510,세명전기,EWY,0.023161584091168898,0.018161584091168897,0.014517506404782237,5.438288707705511,tier1
2026-02-26,3,117730,티로보틱스,SMCI,0.033495174105498494,0.028495174105498493,0.013916500994035786,1.8831706694202948,tier1
2026-02-27,1,203400,에이비온,NFLX,0.009016919092488257,0.0040169190924882565,0.0078125,1.7872045646401835,tier1
2026-03-03,1,000157,두산2우B,NVDA,0.011081009668775788,0.006081009668775787,-0.01763663231087472,7.897486772486772,tier1
2026-03-03,2,000720,현대건설,URA,0.011819572843175639,0.006819572843175639,-0.010928918313976329,6.108849225335833,tier1
2026-03-03,3,064350,현대로템,ITA,0.01784275715281722,0.01284275715281722,0.11279824139092544,2.476656317573194,tier1
2026-03-04,1,030960,양지사,MU,0.02977022928274984,0.02477022928274984,-0.022919179734620022,1.5723882708387973,tier1
2026-03-04,2,012750,에스원,EWY,0.011207519057489691,0.006207519057489691,0.017201834862385322,1.76217757874459,tier1
2026-03-04,3,013990,아가방컴퍼니,ITA,0.006050958683381247,0.0010509586833812468,-0.0021008403361344537,2.335673814623038,tier1
2026-03-05,1,356680,엑스게이트,XLK,0.03704964210826629,0.032049642108266295,0.0392156862745098,3.6047556556654587,tier1
2026-03-05,2,000660,SK하이닉스,MU,0.061031282455897506,0.05603128245589751,0.14958775029446408,2.037901979007457,tier1
2026-03-05,3,348370,엔켐,AMD,0.045606786311571085,0.04060678631157109,0.06884057971014493,2.401703770230244,tier1
2026-03-06,1,010955,S-Oil우,EWY,0.00974688903162869,0.004746889031628689,0.023890776407004488,6.55188034362438,tier1
2026-03-06,2,013990,아가방컴퍼니,XLV,0.015479762204774435,0.010479762204774434,-0.013184584178498986,2.7916902139799094,tier1
2026-03-09,1,030960,양지사,SMH,0.03213668875322041,0.027136688753220412,-0.02012578616352201,0.29684556357119884,tier1
2026-03-09,2,119610,인터로조,AMZN,0.011879111797913738,0.006879111797913738,-0.049797336421540245,0.4412874559013978,tier1
2026-03-10,1,089030,테크윙,SMH,0.07058771464642354,0.06558771464642353,0.07883211678832117,5.632947248536335,tier1
2026-03-10,2,091810,트리니티항공,AMD,0.055837720147566494,0.0508377201475665,0.027052238805970148,4.426710476542578,tier1
2026-03-10,3,307180,아이엘,EWY,0.04901512890704349,0.04401512890704349,0.07307692307692308,3.2183443580395363,tier1
2026-03-11,1,089030,테크윙,MU,0.015083328632118356,0.010083328632118357,0.0,5.740869846705597,tier1
2026-03-11,2,024060,흥구석유,EWY,0.014018011740330882,0.009018011740330883,-0.05405405405405406,3.170281570104451,tier1
2026-03-11,3,105840,우진,URA,0.009250883699369813,0.004250883699369813,0.022727273564932315,3.3760556750905844,tier1
2026-03-12,1,000300,DH오토넥스,NFLX,0.14394798492568953,0.13894798492568952,0.0,,tier1
2026-03-12,2,089030,테크윙,MU,0.016419633156414846,0.011419633156414845,-0.02,4.959220025811728,tier1
2026-03-12,3,004090,한국석유,XLE,0.009274904086057157,0.004274904086057157,0.07901234567901234,6.295093913899257,tier1
2026-03-13,1,004090,한국석유,EWY,0.03341451875064176,0.02841451875064176,0.04950495049504951,4.137218621293102,tier1
2026-03-13,2,192410,오늘이엔엠,XBI,0.007937949269082211,0.002937949269082211,,,tier1
2026-03-13,3,081150,티플랙스,ITA,0.0055524247349242675,0.0005524247349242674,0.0,3.8597983633596207,tier1
2026-03-16,1,033160,엠케이전자,MU,0.010355444375286158,0.005355444375286158,0.011888111888111888,8.121114811226276,tier1
2026-03-17,1,357580,아모센스,EWY,0.031037030651152122,0.02603703065115212,0.029880478087649404,6.226388179462652,tier1
2026-03-17,2,432720,퀄리타스반도체,SMH,0.029538630401395108,0.024538630401395107,0.028024606971975393,5.265451607337488,tier1
2026-03-17,3,425040,티이엠씨,MU,0.01482032381695869,0.00982032381695869,0.013388259526261586,9.967752166099226,tier1
2026-03-18,1,085620,미래에셋생명,MU,0.012147028641660663,0.007147028641660663,0.11085714285714286,5.18897463931515,tier1
2026-03-18,2,200710,에이디테크놀로지,TSM,0.012303929919715968,0.007303929919715968,0.03005181347150259,2.487475415154403,tier1
2026-03-19,1,475400,씨메스로보틱스,AMD,0.005822404110536476,0.0008224041105364755,-0.03636363636363636,1.7274267893364779,tier1
2026-03-19,2,081150,티플랙스,KWEB,0.005125835545237528,0.00012583554523752823,0.0060790273556231,2.1334908446544594,tier1
2026-03-20,1,000300,DH오토넥스,NFLX,0.23126504041733326,0.22626504041733325,0.0,,tier1
2026-03-20,2,199820,제일일렉트릭,EWY,0.010379364072781368,0.005379364072781368,0.007819287576020852,6.172241696151842,tier1
