ticker6,name,market_cap,sma5,sma20,sma60,high20,prev_close,rsi14,vol_median20,macd_state,chg5d_pct
036030,케이티알파,226468431420.0,4500.0,4462.0,4581.08,4620.0,4620.0,58.53,40748.0,bullish,4.05
144510,지씨셀,226418929520.0,13354.0,13377.5,16440.67,14330.0,14330.0,52.5,44912.0,bullish,11.09
042370,비츠로테크,225844215500.0,7480.0,7877.0,10771.67,8790.0,8620.0,51.41,147792.0,bullish,18.24
000680,LS네트웍스,224588595600.0,2764.0,2836.25,3134.08,2980.0,2850.0,48.46,125326.0,bullish,0.18
000430,대원강업,224130000000.0,3465.0,3618.25,4194.5,4000.0,3615.0,45.69,104732.0,bullish,7.11
099430,바이오플러스,224064024470.0,3463.0,3683.75,4501.5,4090.0,3635.0,43.63,258977.0,bullish,3.41
377450,리파인,223903600000.0,12082.0,11017.5,10281.67,12920.0,12920.0,69.22,42400.0,bullish,14.64
053030,바이넥스,223886687800.0,6312.0,6631.0,7840.83,7170.0,6850.0,49.76,82942.0,bullish,5.71
094360,칩스앤미디어,222949060560.0,9374.0,10407.5,13390.5,12180.0,10440.0,47.0,97738.0,bullish,10.01
134380,미원화학,222345994800.0,10084.0,10052.0,10346.5,10200.0,10110.0,50.86,1992.0,bullish,0.0
068930,디지털대성,221956242840.0,7702.0,7368.5,7639.83,8020.0,8020.0,66.14,24468.0,bullish,10.47
065710,서호전기,221450000000.0,42410.0,42515.0,43506.67,44300.0,43000.0,49.96,9774.0,bullish,3.37
003070,코오롱글로벌,221188443300.0,8376.0,8892.0,9368.0,9690.0,8700.0,45.41,20423.0,bearish,-0.23
450950,아스테라시스,219368861360.0,5420.0,5960.0,7443.17,6760.0,5830.0,43.0,25916.0,bullish,4.86
290690,아리바이오홀딩스,219077375650.0,3984.0,4305.5,4637.17,5080.0,4165.0,46.53,782604.0,bearish,3.87
001460,BYC,218615250000.0,32250.0,32750.0,36591.67,35150.0,35000.0,57.2,3044.0,bullish,14.19
459510,나우로보틱스,218555952880.0,14792.0,13249.0,18344.17,16840.0,16840.0,58.75,33872.0,bullish,40.33
001340,PKC,217935950760.0,4508.0,5001.25,5722.58,5770.0,4840.0,43.72,208032.0,bearish,7.44
200470,에이팩트,217741158020.0,4571.0,4943.0,7704.5,5750.0,5140.0,44.78,494860.0,bullish,28.34
003520,영진약품,217642349890.0,1157.8,1181.6,1276.65,1221.0,1190.0,48.56,236157.0,bullish,0.93
001250,GS글로벌,217476468140.0,2480.0,2585.25,3002.5,2900.0,2635.0,49.06,635396.0,bullish,5.61
061970,LB세미콘,217230442440.0,3367.0,3883.75,4656.63,4310.0,3740.0,45.51,284826.0,bearish,-4.1
009680,모토닉,216678947180.0,9906.0,9833.5,10017.0,10080.0,9970.0,53.02,19865.0,bullish,0.3
000480,CR홀딩스,216399611350.0,4595.0,4663.67,4617.02,4781.94,4615.0,47.25,38724.0,bearish,-0.22
461300,아이스크림미디어,215980953930.0,15636.0,15811.5,16571.33,16400.0,16210.0,52.67,23286.0,golden_cross,2.92
298830,슈어소프트테크,215972335960.0,3474.0,3785.75,5103.92,4185.0,3795.0,45.4,260817.0,bullish,0.4
0011T0,채비,215263874735.0,4033.0,4969.75,8601.08,6130.0,4585.0,37.66,217036.0,bullish,5.52
462350,이노스페이스,215041000080.0,5583.0,6206.25,9723.86,7020.0,6360.0,43.27,279600.0,bullish,12.97
052330,코텍,214915226900.0,11680.0,11829.5,11650.0,12360.0,12100.0,57.86,18770.0,bearish,3.77
025000,KPX케미칼,214556741000.0,48740.0,49390.3,49335.36,50100.0,49000.0,48.54,4228.0,bearish,0.2
417840,저스템,214514793780.0,8424.0,10428.0,13759.83,13200.0,9380.0,43.32,792182.0,bearish,10.22
254490,미래반도체,214115540000.0,13092.0,14730.0,22771.0,17100.0,14830.0,45.24,106658.0,bullish,16.41
304100,솔트룩스,214095535000.0,13240.0,11866.5,15055.67,17000.0,17000.0,67.57,54095.0,bullish,32.5
089980,상아프론테크,213773424690.0,12446.0,13374.5,17571.83,14580.0,13370.0,44.2,35440.0,bullish,4.21
033920,무학,213750000000.0,7400.0,7435.5,7577.26,7740.0,7500.0,52.36,38590.0,bullish,3.02
037270,YG PLUS,212953102950.0,3115.0,3224.75,3645.83,3475.0,3345.0,51.49,260246.0,bullish,6.36
241520,DSC인베스트먼트,212534000000.0,7082.0,7652.0,10429.83,8610.0,7990.0,48.12,208568.0,bullish,12.85
095500,미래나노텍,212108393160.0,6168.0,6959.5,7783.33,7970.0,6470.0,44.56,214591.0,bearish,-5.13
023760,한국캐피탈,211458415920.0,670.0,693.95,744.62,719.0,670.0,38.08,114112.0,bearish,0.6
030210,다올투자증권,210752426760.0,3329.0,3370.5,3588.42,3480.0,3460.0,52.37,64408.0,bullish,5.17
0008Z0,에스엔시스,210435377200.0,20554.0,21408.5,27216.17,24200.0,21650.0,45.91,28103.0,bullish,-3.78
378340,필에너지,210378533040.0,8720.0,10113.0,13024.67,11580.0,9720.0,44.02,59629.0,golden_cross,5.77
272110,케이엔제이,209864079250.0,23580.0,26245.0,30882.5,30450.0,26150.0,47.57,83562.0,golden_cross,13.2
0001A0,덕양에너젠,209100178020.0,7472.0,7955.5,10508.83,8690.0,8210.0,47.8,67108.0,bullish,9.91
402030,코난테크놀로지,209042049600.0,13338.0,11623.5,14276.0,14400.0,14400.0,59.42,16132.0,bullish,10.51
318060,그래피,208528979280.0,17022.0,17864.0,20950.0,20450.0,18640.0,51.41,79578.0,bullish,6.39
034120,SBS,208515915120.0,11008.0,11705.0,12653.5,12500.0,11170.0,40.25,8299.0,bearish,-3.62
011560,세보엠이씨,207748363200.0,19406.0,21586.5,22562.17,24350.0,20600.0,45.89,33630.0,bearish,2.49
226320,잇츠한불,207451319900.0,9132.0,9618.0,10130.17,11000.0,9460.0,48.91,22798.0,bearish,3.73
014940,오리엔탈정공,206904420940.0,4181.0,4357.5,5318.67,4725.0,4540.0,49.42,246896.0,bullish,9.93
380540,옵티코어,206658126350.0,8450.0,8450.0,8238.75,8450.0,8450.0,96.94,0.0,bearish,0.0
114190,강원에너지,206372000200.0,7018.0,8096.0,9897.33,9520.0,7370.0,41.96,98265.0,bearish,-9.57
000540,흥국화재,206218890450.0,3091.0,3162.0,3457.0,3340.0,3210.0,49.84,39962.0,bullish,4.73
000320,노루홀딩스,206012840500.0,15128.0,15932.5,17256.17,16940.0,15500.0,44.32,5570.0,bearish,0.06
217730,강스템바이오텍,205978586310.0,2154.0,2267.7,2609.07,2700.0,2190.0,46.39,587212.0,bullish,12.37
365270,큐라클,205616885760.0,8108.0,8798.0,11798.33,10400.0,9280.0,48.1,102468.0,bullish,16.29
000650,천일고속,204807226000.0,134940.0,149745.0,186613.33,167200.0,143300.0,41.38,3297.0,golden_cross,5.91
432320,KB스타리츠,204285606175.0,1332.2,1424.1,1458.33,1521.0,1355.0,43.7,479718.0,bearish,-5.38
092200,디아이씨,204164987250.0,4383.0,4301.25,6463.58,5250.0,5250.0,54.84,389386.0,bullish,27.43
230240,에치에프알,204026970000.0,13758.0,15651.0,23182.5,18000.0,15330.0,43.98,166178.0,bullish,7.88
